,start_frame,peak_frame,end_frame,duration,start_brightness,peak_brightness,end_brightness,next_intervals,next_intervals_count,prev_intervals,prev_intervals_count,ratios,ratios_count,prev_interval,next_interval
78,2234.0,2234.0,2234.0,1.0,9.134675653416244e-05,9.134675653416244e-05,9.134675653416244e-05,['0.13'],1,[],0,[0.13],1,7.0,26.0
79,2257.0,2260.0,2263.0,7.0,8.875781003196887e-05,0.0001055969089328,9.010243810639486e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,26.0,5.0
80,2265.0,2265.0,2265.0,1.0,8.798440585798886e-05,8.798440585798886e-05,8.798440585798886e-05,[],0,['0.18'],1,[0.5],1,5.0,2.0
81,2267.0,2267.0,2267.0,1.0,8.564735276764229e-05,8.564735276764229e-05,8.564735276764229e-05,[],0,"['0.13', '0.18']",2,[],0,2.0,38.0
82,2305.0,2305.0,2305.0,1.0,0.0001205713365589,0.0001205713365589,0.0001205713365589,"['0.32', '0.5', '1.0']",3,"['0.18', '0.32', '0.5', '1.0']",4,[0.18 0.32 0.5  1.  ],4,38.0,19.0
83,2324.0,2324.0,2324.0,1.0,8.791117548683545e-05,8.791117548683545e-05,8.791117548683545e-05,[],0,[],0,[],0,19.0,25.0
84,2348.0,2349.0,2350.0,3.0,8.907990095335584e-05,0.000112626802462,9.207485477640143e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,25.0,33.0
85,2378.0,2382.0,2383.0,6.0,8.874109048535846e-05,0.0001560190796347,0.0001034250195634,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,33.0,3.0
86,2385.0,2385.0,2385.0,1.0,9.13695575148482e-05,9.13695575148482e-05,9.13695575148482e-05,[],0,"['0.18', '0.5', '1.0']",3,[0.18],1,3.0,42.0
87,2426.0,2427.0,2427.0,2.0,9.436973908223009e-05,0.0001826179226079,0.0001826179226079,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,42.0,43.0
88,2469.0,2470.0,2474.0,6.0,9.526059671766716e-05,0.0001098340577188,9.209147615632191e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,43.0,34.0
89,2501.0,2504.0,2506.0,6.0,8.763512717836952e-05,0.000107285206605,9.701136992310744e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,34.0,45.0
90,2548.0,2549.0,2549.0,2.0,8.600132486404696e-05,0.0001221410537575,0.0001221410537575,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,45.0,44.0
91,2593.0,2593.0,2594.0,2.0,0.0001069427330072,0.0001069427330072,8.58098912681602e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,44.0,33.0
92,2625.0,2626.0,2627.0,3.0,9.648452569664872e-05,0.0001672998428448,9.49421596551852e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,33.0,42.0
93,2668.0,2668.0,2668.0,1.0,8.508433554337711e-05,8.508433554337711e-05,8.508433554337711e-05,"['0.32', '0.5']",2,[],0,[0.32],1,42.0,3.0
94,2670.0,2671.0,2671.0,2.0,9.465187166695736e-05,0.0001620550970745,0.0001620550970745,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,3.0,44.0
